hour,day_of_week,month,location,latitude,longitude,crime_type,is_night,is_weekend,risk_score,status,datetime,is_rush_hour,crime_type_encoded,high_risk
23,2,12,Pandri,21.25144694547889,81.63170975460744,Snatching,1,0,0.793,Solved,2023-12-06 23:00:00,0,4,1
22,3,8,GE Road,21.24475598892846,81.6452204073182,Vehicle theft,1,0,0.817,Reported,2023-08-03 22:00:00,0,7,1
5,3,7,Devendra Nagar,21.24500728586601,81.61985333986127,Assault,1,0,0.638,Under investigation,2023-07-20 05:00:00,0,0,1
22,0,6,Devendra Nagar,21.242337632915124,81.6220005493477,Assault,1,0,0.845,Solved,2023-06-12 22:00:00,0,0,1
6,5,3,Devendra Nagar,21.248198325326584,81.62202912889249,Vehicle theft,0,1,0.286,Solved,2023-03-25 06:00:00,0,7,0
21,6,2,Mowa,21.283213704777893,81.63830896886937,Snatching,1,1,0.732,Reported,2023-02-19 21:00:00,0,4,1
18,0,10,GE Road,21.246192310958108,81.65660538162288,Vandalism,0,0,0.527,Under investigation,2023-10-30 18:00:00,1,6,1
15,1,2,GE Road,21.24856816748934,81.64365635197171,Assault,0,0,0.471,Reported,2023-02-14 15:00:00,0,0,0
0,3,11,Mowa,21.271931784232912,81.64660041381524,Theft,1,0,0.586,Under investigation,2023-11-23 00:00:00,0,5,1
23,4,3,Devendra Nagar,21.24423478194136,81.62238516105974,Robbery,1,0,0.668,Under investigation,2023-03-24 23:00:00,0,3,1
0,1,4,Amanaka,21.26936319315365,81.63905177153869,Vehicle theft,1,0,0.505,Under investigation,2023-04-11 00:00:00,0,7,1
20,3,9,Mowa,21.278181880664096,81.65167621511533,Snatching,0,0,0.31,Solved,2023-09-14 20:00:00,0,4,0
10,5,8,Amanaka,21.270535042296217,81.63924713906783,Harassment,0,1,0.254,Under investigation,2023-08-05 10:00:00,0,2,0
13,2,10,Jail Road,21.23302095943162,81.63995421071897,Vehicle theft,0,0,0.466,Solved,2023-10-04 13:00:00,0,7,0
16,3,11,GE Road,21.24885211605592,81.65022785571426,Vehicle theft,0,0,0.236,Solved,2023-11-30 16:00:00,0,7,0
0,6,4,Ring Road No 1,21.26544039492483,81.6489096558075,Theft,1,1,0.791,Reported,2023-04-02 00:00:00,0,5,1
16,2,7,Katora Talab,21.2373653554638,81.63944481991304,Vehicle theft,0,0,0.424,Reported,2023-07-26 16:00:00,0,7,0
23,0,7,Fafadih,21.24137979095628,81.6646174772814,Burglary,1,0,0.766,Solved,2023-07-10 23:00:00,0,1,1
15,5,6,Amanaka,21.27745103874552,81.63248250315517,Snatching,0,1,0.549,Solved,2023-06-17 15:00:00,0,4,1
18,1,1,Tikrapara,21.26290752900824,81.62405407803433,Theft,0,0,0.474,Under investigation,2023-01-03 18:00:00,1,5,0
16,1,1,Tikrapara,21.256514666668117,81.61675763955182,Theft,0,0,0.164,Reported,2023-01-10 16:00:00,0,5,0
0,6,7,Mowa,21.285851619047342,81.63839960457686,Robbery,1,1,0.569,Under investigation,2023-07-09 00:00:00,0,3,1
22,2,5,Amanaka,21.264635479869376,81.64111192629456,Burglary,1,0,0.865,Reported,2023-05-03 22:00:00,0,1,1
11,6,6,Amanaka,21.27478705289992,81.63672848097595,Vandalism,0,1,0.423,Under investigation,2023-06-11 11:00:00,0,6,0
18,5,5,Shankar Nagar,21.24331715698142,81.64034590197758,Theft,0,1,0.579,Under investigation,2023-05-27 18:00:00,1,5,1
8,6,12,Telibandha,21.24002779549524,81.6564192278296,Vehicle theft,0,1,0.314,Reported,2023-12-03 08:00:00,1,7,0
21,6,3,Katora Talab,21.237654264504567,81.64316783706899,Harassment,1,1,0.53,Closed,2023-03-19 21:00:00,0,2,1
4,3,1,Pandri,21.24780823205744,81.62952127698269,Robbery,1,0,0.763,Solved,2023-01-26 04:00:00,0,3,1
13,2,12,Katora Talab,21.235207765329346,81.63015943382736,Robbery,0,0,0.414,Under investigation,2023-12-13 13:00:00,0,3,0
19,4,11,Tikrapara,21.25948766506796,81.62036931720665,Harassment,0,0,0.406,Under investigation,2023-11-03 19:00:00,1,2,0
7,4,11,Jail Road,21.23189692071981,81.64878180871578,Snatching,0,0,0.406,Reported,2023-11-24 07:00:00,1,4,0
23,1,4,Katora Talab,21.238557869878893,81.63910054721472,Theft,1,0,0.723,Under investigation,2023-04-11 23:00:00,0,5,1
17,1,4,Katora Talab,21.236964376985195,81.64121222240182,Snatching,0,0,0.299,Under investigation,2023-04-18 17:00:00,1,4,0
11,5,3,Katora Talab,21.24629379714235,81.63662434052391,Vehicle theft,0,1,0.58,Reported,2023-03-18 11:00:00,0,7,1
17,4,8,Ring Road No 1,21.2594293639382,81.64900477990889,Theft,0,0,0.599,Under investigation,2023-08-11 17:00:00,1,5,1
7,1,3,Ring Road No 1,21.26452773721282,81.65302599214101,Assault,0,0,0.346,Solved,2023-03-14 07:00:00,1,0,0
20,5,12,GE Road,21.25399370053754,81.65074079072492,Burglary,0,1,0.34,Closed,2023-12-30 20:00:00,0,1,0
11,0,11,Tikrapara,21.260127939665026,81.61615520623519,Theft,0,0,0.39,Under investigation,2023-11-20 11:00:00,0,5,0
8,4,9,Devendra Nagar,21.24720455304505,81.63081994942992,Vandalism,0,0,0.398,Reported,2023-09-22 08:00:00,1,6,0
9,0,4,Tikrapara,21.26417971442171,81.62083881579855,Theft,0,0,0.554,Solved,2023-04-17 09:00:00,1,5,1
1,3,6,Ring Road No 1,21.26751826769529,81.6497157438844,Assault,1,0,0.732,Closed,2023-06-29 01:00:00,0,0,1
21,5,7,Telibandha,21.236866939415663,81.64710885958253,Vehicle theft,1,1,0.593,Reported,2023-07-29 21:00:00,0,7,1
12,5,8,Pandri,21.25089885350892,81.62791197641316,Vehicle theft,0,1,0.471,Under investigation,2023-08-19 12:00:00,0,7,0
14,0,7,Katora Talab,21.24153309896261,81.63259870632928,Snatching,0,0,0.214,Under investigation,2023-07-31 14:00:00,0,4,0
2,5,9,Shankar Nagar,21.240289113135105,81.64987030871532,Vandalism,1,1,0.523,Under investigation,2023-09-30 02:00:00,0,6,1
13,1,5,Mowa,21.277094499075677,81.64291411382901,Vehicle theft,0,0,0.494,Solved,2023-05-16 13:00:00,0,7,0
1,5,4,Tikrapara,21.261905291298977,81.61415322752433,Robbery,1,1,0.846,Reported,2023-04-22 01:00:00,0,3,1
5,6,8,Jail Road,21.234741935078013,81.64264847616165,Harassment,1,1,0.57,Reported,2023-08-06 05:00:00,0,2,1
7,0,5,Ring Road No 1,21.269633536047525,81.64848311225113,Theft,0,0,0.592,Under investigation,2023-05-01 07:00:00,1,5,1
12,4,4,Mowa,21.279296503169903,81.64245742301998,Assault,0,0,0.364,Reported,2023-04-07 12:00:00,0,0,0
19,6,2,GE Road,21.252255553977403,81.64308154100569,Vehicle theft,0,1,0.304,Under investigation,2023-02-26 19:00:00,1,7,0
18,1,3,Tikrapara,21.26054334551477,81.6129941443543,Assault,0,0,0.3,Closed,2023-03-14 18:00:00,1,0,0
8,1,4,Mowa,21.280333336284787,81.63378540350193,Vehicle theft,0,0,0.524,Under investigation,2023-04-04 08:00:00,1,7,1
4,4,9,Fafadih,21.22569365266284,81.66447419486575,Burglary,1,0,0.83,Under investigation,2023-09-01 04:00:00,0,1,1
14,4,1,Pandri,21.24921264617922,81.62564856770547,Theft,0,0,0.564,Solved,2023-01-06 14:00:00,0,5,1
20,0,9,Tikrapara,21.265183382484302,81.62001050486931,Snatching,0,0,0.277,Solved,2023-09-18 20:00:00,0,4,0
18,5,1,Pandri,21.254888360782136,81.62893503171071,Burglary,0,1,0.394,Under investigation,2023-01-14 18:00:00,1,1,0
22,0,12,Devendra Nagar,21.2563185147756,81.62098194455777,Assault,1,0,0.892,Closed,2023-12-18 22:00:00,0,0,1
22,5,6,Jail Road,21.23677798219744,81.6398545358396,Theft,1,1,0.663,Solved,2023-06-10 22:00:00,0,5,1
9,6,1,GE Road,21.24458195842035,81.65083139498299,Vehicle theft,0,1,0.334,Reported,2023-01-15 09:00:00,1,7,0
15,1,11,Ring Road No 1,21.26465905024582,81.64699471274305,Assault,0,0,0.213,Reported,2023-11-07 15:00:00,0,0,0
12,0,5,Fafadih,21.229411122891463,81.66110120942766,Harassment,0,0,0.409,Under investigation,2023-05-01 12:00:00,0,2,0
15,2,2,Ring Road No 1,21.264798991260992,81.64131734686849,Vehicle theft,0,0,0.559,Under investigation,2023-02-01 15:00:00,0,7,1
4,1,8,Mowa,21.283112485810097,81.64032200810475,Theft,1,0,0.571,Under investigation,2023-08-22 04:00:00,0,5,1
2,1,12,Devendra Nagar,21.24027301006241,81.62716426620581,Burglary,1,0,0.662,Reported,2023-12-12 02:00:00,0,1,1
4,4,1,Pandri,21.251305528082327,81.63446466310712,Assault,1,0,0.568,Solved,2023-01-06 04:00:00,0,0,1
15,1,1,Ring Road No 1,21.26515180905192,81.65119394198821,Harassment,0,0,0.502,Closed,2023-01-31 15:00:00,0,2,1
22,1,8,GE Road,21.25058908022008,81.65083085104222,Robbery,1,0,0.782,Solved,2023-08-29 22:00:00,0,3,1
10,4,1,Ring Road No 1,21.261745874964763,81.64778970964501,Theft,0,0,0.279,Solved,2023-01-20 10:00:00,0,5,0
19,2,11,Devendra Nagar,21.248039636490617,81.62282204863422,Snatching,0,0,0.159,Under investigation,2023-11-29 19:00:00,1,4,0
1,1,3,Shankar Nagar,21.24363427059228,81.64645751934462,Assault,1,0,0.936,Reported,2023-03-21 01:00:00,0,0,1
19,4,11,Devendra Nagar,21.245144493569057,81.62346013570217,Snatching,0,0,0.575,Under investigation,2023-11-10 19:00:00,1,4,1
7,3,10,Fafadih,21.2307014019542,81.66292295973592,Harassment,0,0,0.547,Reported,2023-10-19 07:00:00,1,2,1
8,5,5,Telibandha,21.24029931165072,81.65370310052715,Assault,0,1,0.572,Under investigation,2023-05-13 08:00:00,1,0,1
4,0,4,Tikrapara,21.257783484651974,81.61686873212165,Theft,1,0,0.872,Under investigation,2023-04-03 04:00:00,0,5,1
8,3,6,GE Road,21.25436854959658,81.64990885201345,Snatching,0,0,0.195,Solved,2023-06-08 08:00:00,1,4,0
11,6,10,GE Road,21.24757512749523,81.65412621627094,Snatching,0,1,0.555,Under investigation,2023-10-22 11:00:00,0,4,1
6,2,4,GE Road,21.2444061977264,81.65203713901305,Vandalism,0,0,0.219,Reported,2023-04-12 06:00:00,0,6,0
10,3,10,Devendra Nagar,21.240539151856005,81.63094315406595,Burglary,0,0,0.121,Reported,2023-10-26 10:00:00,0,1,0
21,0,12,Ring Road No 1,21.25722160109238,81.6558090026075,Burglary,1,0,0.799,Solved,2023-12-04 21:00:00,0,1,1
6,2,8,Pandri,21.251073462559955,81.62813358972065,Vehicle theft,0,0,0.156,Solved,2023-08-09 06:00:00,0,7,0
15,5,9,Telibandha,21.239641586625872,81.65262760135663,Robbery,0,1,0.452,Under investigation,2023-09-23 15:00:00,0,3,0
14,3,2,Shankar Nagar,21.23988239799068,81.63883684909932,Harassment,0,0,0.591,Under investigation,2023-02-02 14:00:00,0,2,1
7,5,11,GE Road,21.25379841946045,81.6420706281854,Harassment,0,1,0.173,Reported,2023-11-04 07:00:00,1,2,0
14,5,10,Telibandha,21.23656308362723,81.66226274781663,Harassment,0,1,0.503,Under investigation,2023-10-07 14:00:00,0,2,1
