hour,day_of_week,location,latitude,longitude,vehicle_count,avg_speed_kmph,weather,is_holiday,congestion_level,datetime,month,is_weekend,is_rush_hour,weather_encoded
0,0,Jail Road,21.230793428306026,81.63982347139766,481,26.0,Clear,0,1,2023-02-27 00:47:00,2,0,0,0
2,5,Ring Road No 1,21.2646953770762,81.65424605971282,442,16.4,Clear,0,1,2023-10-07 02:37:00,10,1,0,0
17,5,GE Road,21.250731693250557,81.6484317260861,954,14.0,Clear,0,2,2023-01-14 17:12:00,1,1,1,0
13,6,Telibandha,21.24205842563101,81.6516348694583,338,22.0,Cloudy,0,1,2023-12-24 13:21:00,12,1,0,1
3,4,Shankar Nagar,21.24256105122813,81.64318512008717,552,25.3,Foggy,0,0,2023-07-14 03:22:00,7,0,0,3
12,6,Katora Talab,21.235773164614372,81.63356854049286,535,19.7,Rainy,0,1,2023-03-05 12:05:00,3,1,0,2
6,0,Fafadih,21.233583924543133,81.65737343951068,271,17.1,Clear,0,1,2023-10-23 06:45:00,10,0,0,0
3,6,Shankar Nagar,21.24005016433497,81.64097542494152,338,21.2,Foggy,0,0,2023-04-30 03:24:00,4,1,0,3
21,1,Fafadih,21.23107433775933,81.66182849466519,273,42.4,Clear,0,0,2023-04-18 21:17:00,4,0,0,0
12,4,Telibandha,21.23708395184896,81.64727539259732,770,24.9,Clear,0,1,2023-08-25 12:17:00,8,0,0,0
1,4,Pandri,21.25433129753784,81.62914844739902,523,33.1,Clear,0,0,2023-04-28 01:51:00,4,0,0,0
6,6,GE Road,21.251335056409378,81.64605050362758,497,32.8,Cloudy,0,0,2023-06-11 06:41:00,6,1,0,1
7,0,Amanaka,21.26891123455095,81.63522184517943,1393,19.9,Clear,0,1,2023-03-13 07:47:00,3,0,1,0
4,6,Fafadih,21.23079801284516,81.66195139603668,493,19.1,Clear,0,1,2023-04-23 04:32:00,4,1,0,0
21,3,Jail Road,21.228598722620163,81.63951661250042,265,32.3,Clear,0,0,2023-03-23 21:27:00,3,0,0,0
0,2,Amanaka,21.26879658677554,81.63870455636902,317,45.7,Clear,0,0,2023-10-11 00:43:00,10,0,0,0
3,5,Jail Road,21.229773005550523,81.6379845781421,451,22.1,Clear,0,1,2023-06-24 03:18:00,6,1,0,0
16,0,Ring Road No 1,21.26504508982421,81.64875831270007,382,37.8,Clear,0,0,2023-05-15 16:48:00,5,0,0,0
19,6,Jail Road,21.23021772719001,81.63618065975224,448,8.2,Cloudy,0,2,2023-09-17 19:12:00,9,1,1,1
10,4,Pandri,21.248743627902204,81.62999372247174,219,20.0,Clear,0,1,2023-11-03 10:31:00,11,0,0,0
1,2,Amanaka,21.27147693315999,81.63534273656238,780,57.6,Clear,0,0,2023-05-03 01:15:00,5,0,0,0
4,5,Shankar Nagar,21.243268703435223,81.64149779260882,480,57.6,Clear,0,0,2023-09-30 04:08:00,9,1,0,0
6,5,GE Road,21.248242956019265,81.6474603115832,526,34.3,Rainy,0,0,2023-08-05 06:59:00,8,1,0,2
20,6,Devendra Nagar,21.24467872245808,81.62551424445245,453,55.5,Clear,0,0,2023-12-10 20:23:00,12,1,0,0
0,4,Shankar Nagar,21.244187236579137,81.63857391968928,767,25.4,Clear,0,1,2023-06-23 00:37:00,6,0,0,0
7,1,Jail Road,21.23044816793879,81.63932983543917,417,6.4,Clear,0,2,2023-01-31 07:04:00,1,0,1,0
4,2,Tikrapara,21.25874615599939,81.61992335257769,784,40.9,Clear,0,0,2023-10-04 04:46:00,10,0,0,0
3,5,Devendra Nagar,21.24766199904499,81.62526256023824,448,30.9,Clear,0,0,2023-04-08 03:06:00,4,1,0,0
20,0,Pandri,21.249721564953557,81.62898157524829,300,12.4,Rainy,0,1,2023-12-11 20:41:00,12,0,0,2
6,0,Shankar Nagar,21.24416252686281,81.64405109025424,749,35.2,Clear,0,0,2023-05-08 06:12:00,5,0,0,0
14,2,Tikrapara,21.25914165152431,81.61832868204668,763,13.6,Rainy,0,1,2023-02-08 14:51:00,2,0,0,2
7,4,Pandri,21.24918733005199,81.62720758675184,1108,9.3,Clear,0,2,2023-02-17 07:10:00,2,0,1,0
12,0,Devendra Nagar,21.247225051644783,81.62611248005715,665,19.5,Rainy,0,1,2023-01-02 12:16:00,1,0,0,2
22,1,Katora Talab,21.23655597975684,81.63650706579578,358,23.5,Clear,0,1,2023-12-05 22:31:00,12,0,0,0
1,3,Ring Road No 1,21.264123272050096,81.64990976049079,521,17.6,Clear,0,1,2023-10-05 01:47:00,10,0,0,0
1,2,Katora Talab,21.237422791211017,81.63757607313293,282,53.3,Clear,0,0,2023-03-22 01:32:00,3,0,0,0
3,2,Tikrapara,21.260028347921786,81.62182928731163,783,26.1,Clear,0,1,2023-07-26 03:56:00,7,0,0,0
18,6,Devendra Nagar,21.24036050979182,81.62504380500876,926,7.2,Rainy,0,2,2023-12-03 18:36:00,12,1,1,2
4,5,Amanaka,21.270174094136475,81.63440198529908,354,35.6,Cloudy,0,0,2023-07-22 04:42:00,7,1,0,1
19,2,Pandri,21.251583521553076,81.6256248621708,543,9.3,Clear,0,2,2023-08-23 19:36:00,8,0,1,0
11,5,Shankar Nagar,21.243060656224326,81.64281422514303,252,34.7,Clear,0,0,2023-05-06 11:18:00,5,1,0,0
0,3,Jail Road,21.232755788089484,81.63906345956346,767,19.9,Rainy,0,1,2023-09-28 00:42:00,9,0,0,2
3,1,Telibandha,21.23728301279421,81.64909648591282,309,48.4,Clear,0,0,2023-05-16 03:56:00,5,0,0,0
6,6,Tikrapara,21.261930804235405,81.61935750221933,329,37.7,Clear,0,0,2023-06-25 06:43:00,6,1,0,0
20,4,Pandri,21.250340479592467,81.63062653486622,483,17.0,Clear,0,1,2023-02-17 20:27:00,2,0,0,0
23,4,Amanaka,21.270194155098697,81.63693728998108,764,46.8,Clear,0,0,2023-03-24 23:28:00,3,0,0,0
17,5,Ring Road No 1,21.261995893812244,81.65054467570681,728,8.0,Clear,0,2,2023-03-18 17:02:00,3,1,1,0
6,0,Pandri,21.250615783693732,81.62667297010373,455,45.0,Clear,0,0,2023-07-03 06:43:00,7,0,0,0
23,1,Devendra Nagar,21.24619224055413,81.62392211054437,442,53.9,Cloudy,0,0,2023-11-14 23:09:00,11,0,0,1
5,4,Devendra Nagar,21.24561022691329,81.62293082573325,540,50.2,Clear,0,0,2023-01-13 05:47:00,1,0,0,0
8,0,Ring Road No 1,21.2605692585159,81.65035870935448,558,5.8,Clear,0,2,2023-05-08 08:10:00,5,0,1,0
9,3,Mowa,21.278214570966945,81.64069544546156,779,18.2,Clear,0,1,2023-06-29 09:52:00,6,0,1,0
11,1,Shankar Nagar,21.24317742857667,81.64290810171363,721,33.0,Cloudy,0,0,2023-05-23 11:41:00,5,0,0,1
8,2,Pandri,21.25517237180242,81.62994915562567,1429,10.3,Clear,0,2,2023-03-01 08:11:00,3,0,1,0
13,5,Ring Road No 1,21.26391510078145,81.65105110816847,506,12.1,Foggy,0,1,2023-06-10 13:38:00,6,1,0,3
13,4,Pandri,21.2475624575694,81.6295469722491,732,56.7,Clear,0,0,2023-12-29 13:00:00,12,0,0,0
6,6,Ring Road No 1,21.263520460419883,81.65612648422497,448,12.7,Rainy,0,1,2023-12-10 06:23:00,12,1,0,2
3,2,Fafadih,21.23271527807044,81.66180309468466,507,26.5,Rainy,0,0,2023-12-06 03:46:00,12,0,0,2
17,3,Ring Road No 1,21.26333057646059,81.64886264392476,712,16.7,Rainy,0,1,2023-06-01 17:08:00,6,0,1,2
9,3,GE Road,21.25348564562903,81.65040386606537,1369,11.1,Clear,0,2,2023-10-19 09:25:00,10,0,1,0
10,5,GE Road,21.252782063894088,81.6470812250904,456,34.9,Clear,0,0,2023-12-02 10:29:00,12,1,0,0
21,1,Ring Road No 1,21.266205588621872,81.64839629787441,490,26.7,Rainy,0,0,2023-03-28 21:05:00,3,0,0,2
9,0,Tikrapara,21.2612737141876,81.62308091125162,725,5.9,Cloudy,0,2,2023-12-11 09:14:00,12,0,1,1
13,1,Shankar Nagar,21.24151892734974,81.64096740454079,789,16.6,Rainy,0,1,2023-08-22 13:56:00,8,0,0,2
20,4,Tikrapara,21.26029930273017,81.61769304869178,205,33.1,Foggy,0,0,2023-03-17 20:44:00,3,0,0,3
5,6,Devendra Nagar,21.242498673137867,81.62353712594961,510,35.9,Clear,0,0,2023-04-23 05:51:00,4,1,0,0
4,1,Shankar Nagar,21.24137539257255,81.64304718486127,675,45.0,Cloudy,0,0,2023-08-22 04:51:00,8,0,0,1
23,4,Mowa,21.277061151531534,81.64539986881005,716,34.2,Cloudy,0,0,2023-11-10 23:57:00,11,0,0,1
14,4,Telibandha,21.237333493415328,81.64945587696758,453,52.8,Clear,0,0,2023-09-01 14:16:00,9,0,0,0
7,4,Mowa,21.28052703443474,81.63983827136714,1170,10.7,Clear,0,2,2023-11-17 07:17:00,11,0,1,0
4,5,Katora Talab,21.23715491986921,81.63711428550857,305,32.2,Clear,0,0,2023-02-11 04:09:00,2,1,0,0
10,4,Devendra Nagar,21.24238503353088,81.62376926771707,677,33.7,Clear,0,0,2023-07-28 10:34:00,7,0,0,0
0,5,GE Road,21.251719765588497,81.65046364574356,552,32.1,Clear,0,0,2023-12-23 00:54:00,12,1,0,0
17,3,Devendra Nagar,21.243126098578244,81.62075908677383,1366,23.0,Clear,0,1,2023-08-03 17:47:00,8,0,1,0
12,6,Mowa,21.279943883131235,81.64289396934647,429,28.6,Foggy,0,0,2023-01-15 12:21:00,1,1,0,3
0,6,GE Road,21.25170098570069,81.649592896419,422,29.1,Rainy,0,0,2023-10-01 00:58:00,10,1,0,2
