date,time,hour,day_of_week,location,latitude,longitude,accident_type,severity,severity_encoded,vehicles_involved,casualties,road_type,weather,light_condition,speed_limit,road_condition
2023-04-03,12:00,12,0,Shankar Nagar,21.241464515808538,81.64118350161084,Pedestrian,Minor,0,2,0,Rural,Clear,Day,60,Good
2023-03-13,02:00,2,0,Pandri,21.249607856816866,81.62993125414083,Collision,Fatal,3,2,2,Urban,Clear,Night,60,Wet
2023-03-22,15:00,15,2,Devendra Nagar,21.249191535594385,81.62108687352858,Hit-and-run,Severe,2,3,1,Rural,Rainy,Day,100,Good
2023-12-27,18:00,18,2,Tikrapara,21.263102461493308,81.61635498378297,Hit-and-run,Minor,0,1,0,Intersection,Clear,Day,40,Wet
2023-03-17,14:00,14,4,Shankar Nagar,21.24095711836251,81.64455578385503,Skid,Minor,0,3,1,Highway,Clear,Day,80,Damaged
2023-02-15,13:00,13,2,Shankar Nagar,21.246265809134023,81.64465422981029,Pedestrian,Minor,0,1,1,Rural,Cloudy,Day,40,Good
2023-05-22,08:00,8,0,Ring Road No 1,21.259452607775348,81.64980214706578,Pedestrian,Minor,0,4,1,Rural,Clear,Day,80,Good
2023-10-16,13:00,13,0,Telibandha,21.24136896577601,81.65022462552169,Pedestrian,Moderate,1,1,2,Highway,Rainy,Day,100,Wet
2023-08-15,12:00,12,1,Telibandha,21.23567892146141,81.65147495381737,Pedestrian,Minor,0,4,0,Intersection,Rainy,Day,80,Wet
2023-01-29,19:00,19,6,Shankar Nagar,21.241355578223025,81.64748357454518,Skid,Minor,0,2,0,Highway,Foggy,Day,40,Wet
2023-12-07,13:00,13,3,Pandri,21.256034524387257,81.63141229227907,Skid,Fatal,3,4,3,Intersection,Clear,Day,80,Good
2023-10-10,13:00,13,1,Fafadih,21.23718302011431,81.66139437405036,Skid,Minor,0,4,0,Urban,Clear,Day,80,Good
2023-11-23,06:00,6,3,Devendra Nagar,21.247896312483125,81.62783316088591,Overturning,Severe,2,3,3,Rural,Clear,Day,40,Good
2023-07-30,23:00,23,6,Ring Road No 1,21.264136496045385,81.65043443848546,Skid,Minor,0,4,0,Rural,Clear,Night,40,Damaged
2023-07-07,03:00,3,4,Katora Talab,21.231586134125468,81.63425059942284,Overturning,Severe,2,4,3,Rural,Rainy,Night,80,Under repair
2023-06-17,13:00,13,5,Devendra Nagar,21.248070269553686,81.6262369002827,Pedestrian,Severe,2,2,3,Rural,Clear,Day,60,Good
2023-05-20,16:00,16,5,Devendra Nagar,21.247113095197154,81.62177610271512,Collision,Minor,0,2,0,Urban,Clear,Day,80,Good
2023-06-23,11:00,11,4,Amanaka,21.264069535293157,81.633514354706,Skid,Moderate,1,2,1,Urban,Clear,Day,60,Good
2023-01-24,08:00,8,1,Devendra Nagar,21.244686965386837,81.62246121309843,Overturning,Minor,0,3,0,Highway,Clear,Day,60,Wet
2023-01-24,17:00,17,1,Mowa,21.280755669070935,81.64825702923305,Pedestrian,Severe,2,2,1,Highway,Clear,Day,40,Wet
2023-07-05,20:00,20,2,Tikrapara,21.260470587605525,81.61804980463253,Pedestrian,Moderate,1,2,0,Rural,Rainy,Day,40,Good
2023-12-08,09:00,9,4,Jail Road,21.229022334560987,81.64047315430072,Hit-and-run,Fatal,3,3,0,Intersection,Rainy,Day,100,Wet
2023-10-30,10:00,10,0,Jail Road,21.227315118718955,81.64046059567625,Hit-and-run,Minor,0,4,0,Rural,Clear,Day,100,Good
2023-11-16,00:00,0,3,Jail Road,21.231152437008998,81.64072905819073,Hit-and-run,Fatal,3,2,2,Rural,Clear,Night,100,Good
2023-07-13,19:00,19,3,Devendra Nagar,21.246972625802012,81.62470124282805,Overturning,Moderate,1,1,2,Rural,Clear,Day,60,Wet
2023-03-23,21:00,21,3,Katora Talab,21.23138430995326,81.6364106104752,Collision,Fatal,3,3,2,Urban,Rainy,Day,80,Damaged
2023-03-26,18:00,18,6,Devendra Nagar,21.243586955463012,81.62011248251099,Overturning,Minor,0,2,0,Urban,Clear,Day,80,Good
2023-09-07,07:00,7,3,Telibandha,21.235586644516435,81.65140062483141,Overturning,Moderate,1,2,1,Highway,Rainy,Day,80,Good
2023-12-11,21:00,21,0,Tikrapara,21.259432275218327,81.61365409364805,Overturning,Moderate,1,4,1,Highway,Clear,Day,40,Good
2023-11-03,23:00,23,4,Amanaka,21.271434113445576,81.6306811756076,Collision,Minor,0,4,1,Urban,Rainy,Night,100,Damaged
2023-09-24,22:00,22,6,Ring Road No 1,21.263819464075556,81.65191549677702,Hit-and-run,Moderate,1,2,1,Rural,Clear,Night,80,Damaged
2023-12-15,20:00,20,4,Tikrapara,21.262756731245087,81.6240450543594,Collision,Severe,2,4,2,Intersection,Rainy,Day,40,Good
2023-05-20,01:00,1,5,Amanaka,21.2659059710223,81.63484257843182,Pedestrian,Fatal,3,2,0,Urban,Foggy,Night,40,Good
2023-04-08,08:00,8,5,GE Road,21.250370994114867,81.65020124905789,Pedestrian,Moderate,1,2,1,Intersection,Clear,Day,60,Wet
2023-10-10,00:00,0,1,GE Road,21.2518470063128,81.64784236127178,Pedestrian,Severe,2,2,0,Highway,Clear,Night,100,Good
2023-07-07,05:00,5,4,Katora Talab,21.235377293434166,81.63115064743445,Pedestrian,Severe,2,1,2,Urban,Clear,Night,60,Good
2023-05-05,12:00,12,4,Tikrapara,21.263063584747222,81.6200776125448,Collision,Severe,2,3,0,Urban,Rainy,Day,40,Good
2023-04-04,07:00,7,1,Pandri,21.254153304593387,81.62866881159057,Overturning,Moderate,1,4,0,Highway,Clear,Day,40,Good
2023-11-06,00:00,0,0,Fafadih,21.23112949359392,81.6579650548001,Collision,Fatal,3,4,3,Rural,Foggy,Night,100,Under repair
2023-12-19,00:00,0,1,Ring Road No 1,21.26447675275122,81.64808062032643,Collision,Minor,0,1,1,Intersection,Clear,Night,80,Damaged
2023-03-31,09:00,9,4,Tikrapara,21.265645989206902,81.61477707225673,Skid,Moderate,1,2,2,Intersection,Foggy,Day,40,Good
2023-06-10,09:00,9,5,Shankar Nagar,21.24432098035764,81.64680056412163,Hit-and-run,Moderate,1,1,0,Intersection,Rainy,Day,40,Damaged
2023-10-10,14:00,14,1,Ring Road No 1,21.26519726927779,81.65172702113748,Hit-and-run,Moderate,1,2,0,Rural,Clear,Day,40,Good
2023-12-03,23:00,23,6,Tikrapara,21.257194549059115,81.6145546924343,Hit-and-run,Minor,0,2,1,Highway,Rainy,Night,60,Damaged
2023-02-27,12:00,12,0,Telibandha,21.241210150326754,81.65461844172232,Skid,Minor,0,2,0,Rural,Rainy,Day,40,Wet
